12.8781,14.2331,11.2977,-16.9066,-86.5476,-170.2266,4
7.8885,8.4125,15.1818,380.1259,-257.9338,-238.7689,4
0.4911,0.2662,17.6620,448.9734,-166.3814,-405.9437,4
-1.4087,-5.4867,18.8339,469.1760,156.1885,-537.9624,4
3.4737,-8.0853,19.6014,481.0168,492.1252,-396.2392,4
9.6813,-13.2358,18.6143,533.8731,446.9592,130.0045,4
13.0097,-16.4572,9.9493,395.0795,331.1759,20.6908,4
13.2197,-17.4795,6.7543,70.8005,15.4418,91.6745,4
10.8329,-13.8544,9.7351,-221.5570,-143.3101,97.2287,4
8.0997,-7.9298,16.4931,-438.5975,-298.1559,84.6555,4
4.6319,-6.5856,18.1525,-370.6045,-345.6412,281.0051,4
-1.5020,-5.5453,18.0861,-444.0296,-140.6246,411.5589,4
1.5667,-1.2071,19.6014,-539.9766,104.6750,398.1313,4
10.4727,6.7202,18.3996,-541.6856,297.0573,258.5442,4
13.8329,12.5174,12.8261,-317.7481,114.3795,-24.1088,4
11.2462,13.4004,10.5667,-31.3109,-90.5759,-141.3570,4
5.4927,5.3336,15.5706,336.1197,-203.0634,-235.3509,4
1.7084,0.6209,16.6809,440.6726,-77.2703,-425.1697,4
-1.1527,-4.7413,18.0789,449.8889,112.2433,-507.6891,4
5.0805,-9.4337,19.6014,467.4670,452.3303,-440.5506,4
8.9365,-12.9625,19.4327,529.1124,456.9080,137.0846,4
12.8362,-16.1282,10.7150,311.2785,289.8552,-6.2866,4
13.0965,-16.1036,5.4616,103.0270,47.6683,74.5847,4
10.7832,-13.6630,8.1643,-236.9989,-212.4017,60.1194,4
7.6289,-8.7068,15.0604,-357.5430,-320.1285,144.5308,4
2.7858,-6.2733,16.7760,-330.9927,-325.1334,280.0895,4
-2.5926,-5.0285,16.6857,-390.0136,-172.4238,387.6332,4
-1.9106,-2.6685,18.4540,-487.6696,158.4468,406.0048,4
8.6943,3.2446,19.5828,-521.2999,370.5434,350.0357,4
19.6014,13.5439,16.1665,-447.8748,350.1578,-21.1791,4
19.2640,16.9645,11.0859,46.5086,-134.9483,-216.7963,4
10.0462,6.7884,17.1032,423.2777,-374.9990,-201.1713,4
0.6532,-4.2406,19.5792,588.9266,-316.5885,-339.2325,4
-2.5148,-7.1982,19.2173,464.7815,91.7966,-612.6693,4
0.3816,-11.2737,15.7507,373.4121,363.0971,-361.8154,4
4.7132,-14.9383,13.1431,296.8132,399.3519,-53.7108,4
11.0967,-13.9597,8.4921,12.1459,410.6434,-155.3340,4
13.5535,-10.9130,6.5431,-142.6387,100.8908,110.4123,4
13.3304,-5.8833,8.4729,-266.1126,-77.0872,-20.5687,4
8.0721,-3.1962,12.1645,-285.9489,-309.6915,-92.8342,4
4.2777,-2.8474,13.2460,-132.1407,-352.2329,129.5773,4
0.1010,-3.2865,12.3020,-30.0292,-329.5889,280.4558,4
-4.1431,-4.2670,11.5585,-22.3388,-178.5884,306.0905,4
-3.8339,-3.9930,12.2847,-130.9200,117.9806,327.8189,4
3.7806,-1.6175,14.1224,-184.8139,324.7062,299.8039,4
11.5962,2.5674,11.2857,-208.6786,298.7052,172.5459,4
14.1673,5.1469,9.7561,-171.0811,72.6926,-31.0668,4
12.9750,6.0825,11.0548,-68.8474,-91.0031,-155.5782,4
7.3304,3.5162,13.4111,102.6608,-246.4593,-296.0197,4
1.7682,0.4929,13.9375,234.1912,-200.0727,-475.2795,4
-3.8919,-3.6167,14.3324,314.9406,96.8015,-561.5219,4
0.9708,-9.2177,16.2263,370.7876,316.7106,-365.5386,4
6.9385,-12.4061,16.6175,398.3144,495.1769,61.2791,4
12.7513,-13.2849,12.4863,289.5500,392.5160,142.8829,4
14.8522,-13.3944,5.7942,166.2593,143.7984,245.6658,4
11.0273,-10.9878,7.7952,-182.0673,-160.5830,84.8386,4
7.4267,-9.0197,12.4163,-326.3541,-350.9512,185.0581,4
1.3399,-7.4165,16.5655,-357.7261,-323.4855,263.3049,4
-1.3507,-5.6458,18.9260,-429.0150,-106.7502,460.7532,4
2.1696,-2.3282,19.6014,-638.4260,263.3660,317.2599,4
12.1375,6.9056,19.6014,-679.1974,315.5509,17.4560,4
14.3796,16.7772,13.3190,-447.7527,129.6993,-227.3553,4
8.8145,13.3328,14.5214,166.3203,-153.5030,-215.6976,4
4.6809,6.2039,18.4175,559.5688,-180.5415,-286.8645,4
-1.2394,-4.0474,19.5804,626.5853,-1.3427,-413.2679,4
2.3186,-9.3152,19.6008,573.3627,440.3064,-585.1425,4
7.3525,-13.4159,19.6014,596.4950,545.0425,44.1283,4
13.2532,-16.3322,15.2991,497.3742,468.5046,89.5993,4
16.0588,-16.5750,7.4584,155.5171,218.0780,36.3158,4
15.5198,-14.7122,7.2047,-150.9395,-163.0244,162.4141,4
8.6063,-10.4805,11.0530,-404.1737,-412.4134,50.2928,4
2.0327,-7.3758,17.7134,-451.9641,-429.4422,215.2094,4
0.5814,-5.0309,19.6014,-492.4303,-175.1094,454.7717,4
3.2949,-1.7353,19.6014,-551.0850,159.4234,400.0844,4
10.1599,5.8295,19.4793,-580.6870,253.7835,188.4150,4
12.8057,13.0839,14.4789,-412.3524,105.7736,-41.9920,4
10.7527,13.9088,12.9164,2.3193,-87.9514,-189.2084,4
5.8719,8.0775,15.4863,283.3244,-143.9205,-184.5698,4
0.7489,0.3355,17.5190,506.8956,-54.4432,-321.8985,4
0.8500,-4.4183,17.8719,488.4631,268.0046,-528.5631,4
4.0241,-9.9110,19.2861,483.9465,486.6930,-493.8341,4
9.7274,-14.7373,17.0506,503.4777,472.4719,124.5113,4
13.8454,-16.6474,12.7040,259.0935,381.8959,-13.9770,4
17.9413,-15.6622,6.5407,-6.9579,-50.2318,215.9418,4
12.0006,-12.8937,11.2905,-254.6990,-272.6433,30.9447,4
6.5575,-10.4057,16.1545,-397.5820,-445.7386,150.8174,4
-1.1425,-7.3782,18.4678,-422.9114,-319.8844,396.1171,4
-1.8346,-4.8305,19.6014,-494.5055,-70.2512,540.9531,4
7.4249,0.8015,19.6014,-584.7763,327.5748,434.2640,4
14.9354,7.2681,19.5224,-539.9766,365.1113,86.6086,4
17.4484,15.8997,10.1132,-316.4054,102.7829,-81.9700,4
9.1896,10.9357,12.6412,204.4062,-270.1408,-226.5008,4
2.4729,3.5108,16.8412,508.4825,-290.6486,-275.8782,4
-4.5756,-3.9409,17.8755,482.6037,-66.8943,-468.1384,4
0.3768,-7.5768,19.5176,383.7270,405.6386,-625.7918,4
5.4687,-11.1164,19.6008,467.7112,559.5688,-13.3056,4
13.0917,-13.4572,17.4939,419.3104,486.3879,29.1136,4
17.4221,-15.2303,8.0841,345.9463,234.6185,131.3473,4
11.3300,-16.5439,8.3820,14.7094,-188.1098,84.7776,4
6.7340,-14.3982,13.4572,-323.8517,-358.3364,112.7316,4
0.2895,-9.9110,18.3960,-401.1220,-357.1157,229.8578,4
-3.0735,-8.0985,19.6014,-511.7174,-116.4547,432.7991,4
